orig,dest,year,age,flow
North-West,North-West,1975,9,0
North-East,North-West,1975,9,757
Center,North-West,1975,9,683
South,North-West,1975,9,1761
Islands,North-West,1975,9,959
North-West,North-East,1975,9,1217
North-East,North-East,1975,9,0
Center,North-East,1975,9,527
South,North-East,1975,9,573
Islands,North-East,1975,9,230
North-West,Center,1975,9,972
North-East,Center,1975,9,524
Center,Center,1975,9,0
South,Center,1975,9,1342
Islands,Center,1975,9,497
North-West,South,1975,9,1542
North-East,South,1975,9,344
Center,South,1975,9,990
South,South,1975,9,0
Islands,South,1975,9,287
North-West,Islands,1975,9,927
North-East,Islands,1975,9,168
Center,Islands,1975,9,348
South,Islands,1975,9,262
Islands,Islands,1975,9,0
North-West,North-West,1975,10,0
North-East,North-West,1975,10,619
Center,North-West,1975,10,564
South,North-West,1975,10,1396
Islands,North-West,1975,10,758
North-West,North-East,1975,10,1101
North-East,North-East,1975,10,0
Center,North-East,1975,10,444
South,North-East,1975,10,433
Islands,North-East,1975,10,198
North-West,Center,1975,10,782
North-East,Center,1975,10,407
Center,Center,1975,10,0
South,Center,1975,10,1075
Islands,Center,1975,10,384
North-West,South,1975,10,1291
North-East,South,1975,10,277
Center,South,1975,10,925
South,South,1975,10,0
Islands,South,1975,10,209
North-West,Islands,1975,10,733
North-East,Islands,1975,10,154
Center,Islands,1975,10,293
South,Islands,1975,10,200
Islands,Islands,1975,10,0
North-West,North-West,1975,11,0
North-East,North-West,1975,11,547
Center,North-West,1975,11,442
South,North-West,1975,11,1099
Islands,North-West,1975,11,601
North-West,North-East,1975,11,972
North-East,North-East,1975,11,0
Center,North-East,1975,11,383
South,North-East,1975,11,363
Islands,North-East,1975,11,150
North-West,Center,1975,11,668
North-East,Center,1975,11,336
Center,Center,1975,11,0
South,Center,1975,11,862
Islands,Center,1975,11,292
North-West,South,1975,11,1227
North-East,South,1975,11,252
Center,South,1975,11,873
South,South,1975,11,0
Islands,South,1975,11,205
North-West,Islands,1975,11,662
North-East,Islands,1975,11,106
Center,Islands,1975,11,268
South,Islands,1975,11,187
Islands,Islands,1975,11,0
North-West,North-West,1975,12,0
North-East,North-West,1975,12,373
Center,North-West,1975,12,303
South,North-West,1975,12,694
Islands,North-West,1975,12,403
North-West,North-East,1975,12,839
North-East,North-East,1975,12,0
Center,North-East,1975,12,297
South,North-East,1975,12,215
Islands,North-East,1975,12,96
North-West,Center,1975,12,460
North-East,Center,1975,12,242
Center,Center,1975,12,0
South,Center,1975,12,567
Islands,Center,1975,12,211
North-West,South,1975,12,798
North-East,South,1975,12,168
Center,South,1975,12,611
South,South,1975,12,0
Islands,South,1975,12,111
North-West,Islands,1975,12,452
North-East,Islands,1975,12,62
Center,Islands,1975,12,181
South,Islands,1975,12,129
Islands,Islands,1975,12,0
North-West,North-West,1975,13,0
North-East,North-West,1975,13,453
Center,North-West,1975,13,357
South,North-West,1975,13,730
Islands,North-West,1975,13,437
North-West,North-East,1975,13,1117
North-East,North-East,1975,13,0
Center,North-East,1975,13,319
South,North-East,1975,13,230
Islands,North-East,1975,13,110
North-West,Center,1975,13,548
North-East,Center,1975,13,257
Center,Center,1975,13,0
South,Center,1975,13,596
Islands,Center,1975,13,206
North-West,South,1975,13,868
North-East,South,1975,13,154
Center,South,1975,13,565
South,South,1975,13,0
Islands,South,1975,13,120
North-West,Islands,1975,13,487
North-East,Islands,1975,13,59
Center,Islands,1975,13,207
South,Islands,1975,13,93
Islands,Islands,1975,13,0
North-West,North-West,1975,14,0
North-East,North-West,1975,14,377
Center,North-West,1975,14,273
South,North-West,1975,14,592
Islands,North-West,1975,14,317
North-West,North-East,1975,14,631
North-East,North-East,1975,14,0
Center,North-East,1975,14,274
South,North-East,1975,14,176
Islands,North-East,1975,14,64
North-West,Center,1975,14,362
North-East,Center,1975,14,188
Center,Center,1975,14,0
South,Center,1975,14,430
Islands,Center,1975,14,159
North-West,South,1975,14,605
North-East,South,1975,14,118
Center,South,1975,14,419
South,South,1975,14,0
Islands,South,1975,14,76
North-West,Islands,1975,14,317
North-East,Islands,1975,14,42
Center,Islands,1975,14,137
South,Islands,1975,14,73
Islands,Islands,1975,14,0
North-West,North-West,1975,15,0
North-East,North-West,1975,15,281
Center,North-West,1975,15,182
South,North-West,1975,15,410
Islands,North-West,1975,15,239
North-West,North-East,1975,15,389
North-East,North-East,1975,15,0
Center,North-East,1975,15,172
South,North-East,1975,15,110
